p_val avg_log2FC pct.1 pct.2 p_val_adj
GRCh38--SLC6A3 1.419626019089e-26 -2.66742466091313 0 0.882 2.80021232265304e-22
GRCh38--CHRNB3 1.75871178310791e-23 -1.70859040473403 0.017 0.882 3.46905899218036e-19
GRCh38--TRPC6 3.96923394615501e-23 -2.30657105411744 0.034 0.941 7.82931395879076e-19
GRCh38--BNC2 1.94873378727186e-22 -3.57787307593484 0.06 1 3.84387739539375e-18
GRCh38--EN1 2.96850755563466e-20 -1.59466831847781 0.043 0.882 5.85538115348936e-16
GRCh38--LINC01956 5.20757524141679e-20 -2.26528284562681 0.026 0.824 1.02719421636946e-15
GRCh38--POU3F2 1.22243073397129e-18 -1.30196514527139 0.026 0.765 2.41124462275836e-14
GRCh38--AC103843.1 4.67482832468874e-18 -1.3992623466263 0.017 0.706 9.22109887044854e-14
GRCh38--SLC18A2 1.40949057359674e-16 -2.95222906969726 0.181 1 2.78022015641957e-12
GRCh38--NTSR1 9.10263888467704e-16 -1.1115550717123 0.034 0.706 1.79549552000255e-11
GRCh38--AC025508.1 5.10249381298551e-15 -1.23325239518737 0.026 0.647 1.00646690461139e-10
GRCh38--RSPO2 7.25293993376314e-15 -2.31387975013162 0.095 0.824 1.43064240193478e-10
GRCh38--MIR3659HG 1.21178955905708e-13 -1.00269159600627 0.069 0.765 2.39025490524009e-09
GRCh38--TMCC3 3.00977194983773e-13 -1.77051815387723 0.129 0.882 5.93677517105492e-09
GRCh38--TLE3 1.03295705709592e-12 -0.588314822656484 0.017 0.529 2.03750779512171e-08
GRCh38--TGFBR2 2.16613189253075e-12 -1.40624376828028 0.034 0.588 4.2726951580169e-08
GRCh38--SV2C 3.75221640351987e-12 -2.51853893655243 0.138 0.824 7.40124685594294e-08
GRCh38--CHRNA6 4.44153583704528e-12 -1.20708881470572 0.121 0.824 8.76092943857182e-08
GRCh38--MCC 6.84197753990111e-12 -1.92888374954582 0.284 1 1.34958006974549e-07
GRCh38--GFRA1 1.13374177666554e-11 -2.64877288152486 0.259 0.941 2.23630565447278e-07
GRCh38--AC113404.1 1.66399867181939e-11 -1.12518303517659 0.043 0.588 3.28223738016374e-07
GRCh38--EBF3 2.51675615777469e-11 -2.00081577329903 0.241 0.941 4.96430152121058e-07
GRCh38--KCNJ6 4.15665124595685e-11 -3.04037630739032 0.828 1 8.19899458264988e-07
GRCh38--RMST 4.51502255021899e-11 3.8202389950819 1 0.765 8.90588198030697e-07
GRCh38--RASSF2 7.3697761983358e-11 -0.497499659470817 0 0.353 1.45368835512174e-06
GRCh38--LINC02456 7.40137074447911e-11 -0.667424660913129 0 0.353 1.4599203793485e-06
GRCh38--COL12A1 1.65259518923446e-10 -1.48578867694412 0.095 0.706 3.25974401076498e-06
GRCh38--KLHL1 1.97670703197046e-10 -2.47349540075269 0.784 1 3.89905462056172e-06
GRCh38--TOX3 2.40959199556829e-10 -1.84451873532101 0.284 0.941 4.75292021125846e-06
GRCh38--HELLPAR 2.52645677135346e-10 -0.55209463474373 0.034 0.529 4.9834359814947e-06
GRCh38--MYRIP 2.76784592937691e-10 -1.98568624844577 0.888 1 5.45957609569595e-06
GRCh38--CSMD1 3.26391251817996e-10 -2.10564540634339 0.991 1 6.43806744210997e-06
GRCh38--ADARB2 5.05283611928453e-10 -2.53280493325703 0.629 1 9.96671924528874e-06
GRCh38--DPP10 6.33667619431022e-10 4.23903057309503 0.94 0.118 1.24990937932769e-05
GRCh38--NRXN3 6.34426434619179e-10 -2.4949156819908 0.871 1 1.25140614228633e-05
GRCh38--RNF144B 7.3050176714155e-10 -0.758545512211157 0.026 0.471 1.44091473568671e-05
GRCh38--PCDH9 7.71161652397766e-10 4.2481456903878 0.957 0.118 1.52111635935459e-05
GRCh38--GPR149 8.20982186250904e-10 -1.40128434421151 0.198 0.882 1.61938736237991e-05
GRCh38--CDK14 9.1435590171494e-10 -2.0639033868985 0.836 1 1.80356701613272e-05
